key,indicator_data_id,indicator_id,name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_valuemessage
1,130728,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,1,Bronx,2005,2.8
2,130729,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,2,Brooklyn,2005,2.8
3,130730,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,3,Manhattan,2005,4.7
4,130731,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,4,Queens,2005,1.9
5,130732,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Borough,5,Staten Island,2005,1.6
6,130727,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,Citywide,1,New York City,2005,2.9
7,130685,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,101,Kingsbridge - Riverdale,2005,2.9
8,130686,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,102,Northeast Bronx,2005,2.8
9,130687,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,103,Fordham - Bronx Pk,2005,2.7
10,130688,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,104,Pelham - Throgs Neck,2005,2.7
11,130689,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,105,Crotona -Tremont,2005,3
12,130690,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,106,High Bridge - Morrisania,2005,3
13,130691,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,107,Hunts Point - Mott Haven,2005,2.8
14,130692,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,201,Greenpoint,2005,3.7
15,130693,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,202,Downtown - Heights - Slope,2005,3.7
16,130694,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,203,Bedford Stuyvesant - Crown Heights,2005,2.5
17,130695,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,204,East New York,2005,2.3
18,130696,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,205,Sunset Park,2005,3.2
19,130697,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,206,Borough Park,2005,2.5
20,130698,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,207,East Flatbush - Flatbush,2005,2.3
21,130699,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,208,Canarsie - Flatlands,2005,2.4
22,130700,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,209,Bensonhurst - Bay Ridge,2005,2.8
23,130701,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,210,Coney Island - Sheepshead Bay,2005,2.4
24,130702,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,211,Williamsburg - Bushwick,2005,2.8
25,130703,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,301,Washington Heights,2005,4.1
26,130704,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,302,Central Harlem - Morningside Heights,2005,3.9
27,130705,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,303,East Harlem,2005,4.2
28,130706,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,304,Upper West Side,2005,3.9
29,130707,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,305,Upper East Side,2005,4.5
30,130708,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,306,Chelsea - Clinton,2005,4.9
31,130709,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,307,Gramercy Park - Murray Hill,2005,5.3
32,130710,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,308,Greenwich Village - SoHo,2005,4.7
33,130711,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,309,Union Square - Lower East Side,2005,5
34,130712,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,310,Lower Manhattan,2005,6.3
35,130713,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,401,Long Island City - Astoria,2005,2.7
36,130714,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,402,West Queens,2005,2.2
37,130715,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,403,Flushing - Clearview,2005,1.9
38,130716,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,404,Bayside - Little Neck,2005,1.9
39,130717,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,405,Ridgewood - Forest Hills,2005,2
40,130718,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,406,Fresh Meadows,2005,1.7
41,130719,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,407,Southwest Queens,2005,1.8
42,130720,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,408,Jamaica,2005,1.8
43,130721,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,409,Southeast Queens,2005,1.8
44,130722,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,410,Rockaways,2005,1.4
45,130723,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,501,Port Richmond,2005,2.5
46,130724,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,502,Stapleton - St. George,2005,1.3
47,130725,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,503,Willowbrook,2005,1.6
48,130726,646,Air Toxics Concentrations- Average Benzene Concentrations,Average Concentration,UHF42,504,South Beach - Tottenville,2005,1.1
49,130776,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,1,Bronx,2005,3.3
50,130777,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,2,Brooklyn,2005,3
51,130778,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,3,Manhattan,2005,4.3
52,130779,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,4,Queens,2005,2.7
53,130780,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Borough,5,Staten Island,2005,2.3
54,130775,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,Citywide,1,New York City,2005,3.2
55,130733,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,101,Kingsbridge - Riverdale,2005,3.2
56,130734,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Average Concentration,UHF42,102,Northeast Bronx,2005,3.2
